station_co,district_n,x,y
1226,3,564977.51,3611590.67
1227,3,565035.47,3611663.66
1228,3,564559.65,3611516.01
1229,3,563175.81,3614147.75
1230,3,564983.21,3614540.19
1231,3,564708.26,3614600.37
1232,3,563685.9,3614536.46
1235,3,564068.28,3613330.63
1236,3,562856.1,3612205.76
1240,3,564264.7,3614734.08
1241,3,564507.25,3615664.9
1243,3,564009.15,3613016.29
1245,3,565639.83,3613442.2
1246,3,565502.43,3612929.44
1247,3,564127.63,3613740.54
1248,3,564046.14,3613316.86
1249,3,565375.86,3612465.87
1250,3,565187.88,3611780.51
1252,3,563861.94,3612645.62
1253,3,564138.56,3614591.03
1254,3,564040.03,3611364.32
1255,3,563639.66,3611411.31
1256,3,563229.87,3611776.98
1257,3,562959.2,3612009.41
1278,3,562895.58,3612221.42
1279,3,562707.76,3612243.4
1283,3,565717.43,3614217.42
1284,3,565444.7,3614150.32
1285,3,565091.14,3614068.29
1286,3,564805.37,3614000.36
1287,3,564319.69,3613885.68
1291,3,563345.6,3613135.99
1292,3,563041.33,3613200.03
1293,3,562868.37,3613456.46
1303,3,562834.3,3613430.53
1304,3,563015.22,3613191.66
1305,3,563379.48,3612999.41
1306,3,563425.09,3612523.32
1307,3,563366.14,3612103.78
1308,3,563327.44,3611802.88
1309,3,563354.13,3611883.64
1310,3,563393.11,3612169.91
1311,3,563448.55,3612580.68
1312,3,563572.38,3612680.02
1313,3,564001.06,3612625.67
1314,3,564303.72,3612567.87
1315,3,564622.37,3612518.82
1316,3,565060.15,3612452.94
1318,3,565200.05,3612444.54
1319,3,564847.88,3612498.89
1320,3,564670.83,3612522.8
1321,3,564362.04,3612570.35
1322,3,564024.98,3612610.53
1323,3,563444.95,3612792.51
1324,3,563388.68,3613027.4
1325,3,563357.5,3613153.03
1326,3,563249.52,3614456.97
1327,3,563264.15,3614455.84
1328,3,564289.27,3613861.54
1329,3,564720.65,3613963.44
1330,3,565153.61,3614064.93
1331,3,565404.26,3614124.45
1332,3,565663.24,3614186.35
1337,3,564354.35,3615340.97
1338,3,564027.25,3615364.13
1339,3,563703.44,3615194.1
1340,3,563422.15,3615075.57
1341,3,563030.94,3615108.11
1348,3,564071.61,3612930
1349,3,564331.55,3612949.75
1350,3,564716,3612975.74
1351,3,565314.92,3612962.8
1352,3,565292.77,3612965.2
1353,3,565035.04,3612980.48
1354,3,564696.04,3612974.39
1355,3,564056.69,3612930.13
1356,3,564505.16,3615769.87
1358,3,564207.46,3614172.64
1359,3,564183.18,3613939.67
1360,3,564236.04,3614219.5
1361,3,563989.31,3613023.93
1362,3,563903.49,3612557.53
1363,3,563933.52,3612131.91
1364,3,564036.14,3611736.57
1365,3,564127.19,3611506.56
1366,3,564068.66,3611740.77
1367,3,564009.12,3611956.45
1368,3,563923.49,3612290.82
1369,3,563947.66,3612704.04
1371,3,564414.96,3615292.69
1372,3,564389.34,3615122.68
1401,3,564574.52,3615224.88
1402,3,564783.72,3614993.21
1403,3,565098.8,3614760.01
1412,3,563599.41,3614512.52
1443,3,564312.42,3612948.96
1444,3,565051.84,3612977.71
1486,3,563186.8,3614395.48
1490,3,563613.76,3614511.84
1545,3,564809.66,3612491.88
1546,3,565236.83,3612427.49
1547,3,562988.07,3612665.34
1646,3,564426.38,3615236.78
1671,3,565792.96,3614268.03
1673,3,565109.38,3611650.07
1705,3,564139.62,3613713.68
1708,3,565179.15,3614633.93
1709,3,565151.33,3614757.7
1710,3,564793.05,3615014.33
1711,3,564540.77,3615266.9
1758,3,564675.9,3611583.28
1759,3,564846.73,3612170.62
1760,3,565034.29,3612606.32
1761,3,565098.34,3612894.09
1762,3,565119.71,3613126.26
1763,3,565104.11,3613433.14
1764,3,565059.89,3614143.36
1765,3,565108.29,3614384.58
1766,3,564410.56,3614639.02
